uri,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collections,broader,belongsTo,Validatiestatus
139,,Geur - Scherpe geur,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
140,,Geur - Teer,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
141,,Geur - Terpentine,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
142,,Geur - Verf (terpentine basis),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
143,,Geur - Zoete geur,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
144,,Geur - Zure geur,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
145,,Geur - Slib,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
146,,Geur - Aromaten,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
150,,Suikergehalte (totaal),,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
151,,Vezelconcentratie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
152,,Zuurbindende waarde,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
153,,Korrelgrootte < 1000 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
154,,Korrelgrootte < 125 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
155,,Korrelgrootte < 16 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
156,,Korrelgrootte < 180 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
157,,Korrelgrootte < 2 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
158,,Korrelgrootte < 250 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
159,,Korrelgrootte < 500 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
160,,Korrelgrootte < 63 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
161,,Korrelgrootte < 32 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
162,,Korrelgrootte < 50 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
163,,Korrelgrootte > 2000 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
164,,Korrelgrootte < 2000 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
165,,Korrelgrootte < 355 µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,331,,
166,,Asbest fractie van 1 mm tot 2mm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
167,,Asbest fractie van 2 mm tot 4 mm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
168,,Asbest fractie van 4 mm tot 8 mm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
169,,Asbest fractie van 8 mm tot 16 mm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
170,,Asbest fractie groter dan 16 mm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
171,,Zuurstofverzadiging,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
173,,"Korrelgrootte distributie <2µm, totaal",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
174,,Aanwezigheid compacte laag,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
175,,Aanwezigheid drainage,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
176,,Aanwezigheid ijzeroerlaag,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
177,,Aanwezigheid roest,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
178,,Aanwezigheid schelpresten,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
179,,Aard van de stenige bijmenging,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
180,,Advanced Triaxiaal testing,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
181,,"ASTM , de beschrijving",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
182,,"ASTM , de code",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
183,,Begrazing,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
184,,Bemonsteringsinstrument bodem,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
185,,Bewaard bodemmonster opslaglocatie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
186,,Bewaard bodemmonster voorbereiding type bewaring,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
187,,Bewaard bodemmonster voorbereiding type breken zeven malen,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
