type,uri,vmmParameterId,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collection,broader
skos:Concept,cf:0146,,,Geur - Aromaten,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0147,,,Hardheid (blijvend),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0015
skos:Concept,cf:0148,,,Hardheid (tijdelijk),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0015
skos:Concept,cf:0150,,,Suikergehalte (totaal),,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0151,,,Vezelconcentratie,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0152,,,Zuurbindende waarde,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0153,,,Korrelgrootte < 1000 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0154,,,Korrelgrootte < 125 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0155,,,Korrelgrootte < 16 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0156,,,Korrelgrootte < 180 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0157,,,Korrelgrootte < 2 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0158,,,Korrelgrootte < 250 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0159,,,Korrelgrootte < 500 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0160,,,Korrelgrootte < 63 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
